47	56	Ukrajinců	Ukrajinci	PER	GPE-Ukraine
95	100	Česka	Česko	LOC	GPE-Czech-Republic
129	148	ministerstva vnitra	ministerstva vnitra	ORG	ORG-Ministry-of-the-Interior-of-the-Czech-Rebulic
159	164	Právo	Právo	PRO	PRO-Deník-Pravo
393	398	Právu	Právo	PRO	PRO-Deník-Pravo
399	408	Hana Malá	Hana Malá	PER	GPE-Malaysia
473	478	Česku	Česko	LOC	GPE-Czech-Republic
656	665	Ukrajinců	Ukrajinci	PER	GPE-Ukraine
814	822	Ukrajiny	Ukrajina	LOC	GPE-Ukraine
1102	1107	Právu	Právo	PRO	PRO-Deník-Pravo
1108	1121	Magda Faltová	Magda Faltová	PER	PER-Magda-Faltova
1125	1157	Sdružení pro integraci a migraci	Sdružení pro integraci a migraci	ORG	ORG-Association-for-Integration-and-Migration-Czech-Republic
1176	1203	Radě vlády pro lidská práva	Rada vlády pro lidská práva	ORG	ORG-Council-for-Human-Rights-Czech-Republic
