20	27	Ryanair	Ryanair	ORG	ORG-Ryanair
88	94	Evropě	Evropa	LOC	LOC-Europe
115	122	Ryanair	Ryanair	ORG	ORG-Ryanair
185	191	Evropě	Evropa	LOC	LOC-Europe
259	308	Evropské federace pro dopravu a životní prostředí	Evropská federace pro dopravu a životní prostředí	ORG	ORG-European-Federation-for-Transport-and-Environment
474	481	Ryanair	Ryanair	ORG	ORG-Ryanair
578	585	Ryanair	Ryanair	ORG	ORG-Ryanair
801	809	Guardian	Guardian	PRO	PRO-The-Guardian
864	871	EasyJet	EasyJet	ORG	ORG-EasyJet
886	895	Lufthansa	Lufthansa	ORG	ORG-Lufthansa
897	906	Norwegian	Norwegian	ORG	ORG-Norwegian
909	924	British Airways	British Airways	ORG	ORG-British-Airways
999	1005	Evropě	Evropa	LOC	LOC-Europe
1061	1064	BBC	BBC	PRO	PRO-BBC
