61	68	Ryanair	Ryanair	ORG	ORG-Ryanair
182	189	Ryanair	Ryanair	ORG	ORG-Ryanair
223	228	Włoch	Włochy	LOC	GPE-Italy
263	269	Belgii	Belgia	LOC	GPE-Belgium
747	761	Rynek Lotniczy	Rynek Lotniczy	PRO	PRO-Rynek-Lotniczy
770	773	A4E	A4E	ORG	ORG-Airlines-for-Europe
775	793	Airline For Europe	Airline For Europe	ORG	ORG-Airlines-for-Europe
1086	1089	ULC	ULC	ORG	ORG-Civil-Aviation-Authority-Poland
1168	1183	Marta Chylińska	Marta Chylińska	PER	PER-Marta-Chylińska
1487	1494	Ryanair	Ryanair	ORG	ORG-Ryanair
1612	1624	Kenny Jacobs	Kenny Jacobs	PER	PER-Kenny-Jacobs
1773	1781	Francuzi	Francuzi	PER	GPE-France
1810	1815	Włosi	Włosi	PER	GPE-Italy
1817	1825	Belgowie	Belgowie	PER	GPE-Belgium
1928	1933	UE261	UE261	PRO	PRO-EU-261-Regulation
1936	1941	EU261	EU261	PRO	PRO-EU-261-Regulation
1955	1957	UE	UE	ORG	ORG-European-Union
2245	2252	Ryanair	Ryanair	ORG	ORG-Ryanair
2352	2360	Ryanaira	Ryanair	ORG	ORG-Ryanair
2362	2377	Michael O’Leary	Michael O’Leary	PER	PER-Michael-O'Leary
