0	6	Niemcy	Niemcy	LOC	GPE-Germany
25	32	Ryanair	Ryanair	ORG	ORG-Ryanair
64	72	Rynanair	Ryanair	ORG	ORG-Ryanair
204	211	Ryanair	Ryanair	ORG	ORG-Ryanair
242	249	Europie	Europa	LOC	LOC-Europe
377	384	Ryanair	Ryanair	ORG	ORG-Ryanair
387	396	Niemczech	Niemcy	LOC	GPE-Germany
421	428	Cockpit	Cockpit	ORG	ORG-Vereinigung-Cockpit
451	456	Verdi	Verdi	ORG	ORG-Ver.di-Trade-Union
758	765	Ryanair	Ryanair	ORG	ORG-Ryanair
924	940	Christinie Behle	Christinie Behle	PER	PER-Christinie-Behle
963	968	Verdi	Verdi	ORG	ORG-Ver.di-Trade-Union
1148	1155	Ryanair	Ryanair	ORG	ORG-Ryanair
1172	1181	Niemczech	Niemcy	LOC	GPE-Germany
1294	1301	Ryanair	Ryanair	ORG	ORG-Ryanair
1359	1370	Robin Kiely	Robin Kiely	PER	PER-Robin-Kiely
1534	1537	dpa	dpa	ORG	ORG-DPA
