0	7	Испания	Испания	LOC	GPE-Spain
15	22	Ryanair	Ryanair	ORG	ORG-Ryanair
50	56	Малаги	Малага	LOC	GPE-Malaga
70	77	Ryanair	Ryanair	ORG	ORG-Ryanair
177	183	Малаги	Малага	LOC	GPE-Malaga
267	277	Яуке Шрале	Яуке Шрале	PER	PER-Yauke-Shrale
288	295	Ryanair	Ryanair	ORG	ORG-Ryanair
356	362	Малага	Малага	LOC	GPE-Malaga
363	371	Брюссель	Брюссель	LOC	GPE-Brussles
514	521	Ryanair	Ryanair	ORG	ORG-Ryanair
585	592	The Sun	The Sun	PRO	PRO-The-Sun
645	652	Ryanair	Ryanair	ORG	ORG-Ryanair
745	755	noticia.ru	noticia.ru	PRO	PRO-noticia.ru
