0	7	Ryanair	Ryanair	PRO	PRO-Ryanair-Choice
56	64	Британии	Британия	LOC	GPE-Great-Britain
75	80	Which	Which	ORG	ORG-Which-Company
173	180	Ryanair	Ryanair	ORG	ORG-Ryanair
258	264	Англии	Англия	LOC	GPE-Great-Britain
278	281	ВВС	BBC	PRO	PRO-BBC
286	300	«Слово и Дело»	«Слово и Дело»	PRO	PRO-Slovo-i-Delo
313	316	BBC	BBC	PRO	PRO-BBC
350	369	Aurigny Air Service	Aurigny Air Service	ORG	ORG-Aurigny-Air-Service
371	376	Swiss	Swiss	ORG	ORG-SVP-Swiss-Peoples-Party
379	383	Jet2	Jet2	ORG	ORG-Jet2
404	411	Ryanair	Ryanair	ORG	ORG-Ryanair
504	512	Jet2.com	Jet2.com	ORG	ORG-Jet2
577	600	Соединенном Королевстве	Соединенное Королевство	LOC	GPE-Great-Britain
818	826	«Which?»	«Which?»	PRO	PRO-Which?-Magazine
828	835	Ryanair	Ryanair	ORG	ORG-Ryanair
1032	1039	Ryanair	Ryanair	ORG	ORG-Ryanair
1121	1128	Ryanair	Ryanair	ORG	ORG-Ryanair
1175	1182	Ryanair	Ryanair	ORG	ORG-Ryanair
1248	1255	Ryanair	Ryanair	ORG	ORG-Ryanair
1272	1279	Украины	Украина	LOC	GPE-Ukraine
1342	1349	Украины	Украина	LOC	GPE-Ukraine
1352	1357	Афины	Афины	LOC	GPE-Athens
1359	1368	Манчестер	Манчестер	LOC	GPE-Manchester
1370	1375	Пафос	Пафос	LOC	GPE-Paphos
1378	1383	Софию	София	LOC	GPE-Sofia
1420	1426	Дублин	Дублин	LOC	GPE-Dublin
