0	7	Italija	Italija	LOC	GPE-Italy
51	58	Ryanair	Ryanair	ORG	ORG-Ryanair
62	70	Wizz Air	Wizz Air	ORG	ORG-Wizz-Air
72	100	Italijanski varuh konkurence	Italijanski varuh konkurence	ORG	ORG-AGCM-Italian-Competition-Authority
175	182	Ryanair	Ryanair	ORG	ORG-Ryanair
186	194	Wizz Air	Wizz Air	ORG	ORG-Wizz-Air
352	359	Ryanair	Ryanair	ORG	ORG-Ryanair
822	830	Wizz Air	Wizz Air	ORG	ORG-Wizz-Air
1176	1184	Ryanairu	Ryanair	ORG	ORG-Ryanair
1327	1333	Evropi	Evropa	LOC	LOC-Europe
1503	1511	Ryanairu	Ryanair	ORG	ORG-Ryanair
1996	2007	Ryanairovih	Ryanairovi	ORG	ORG-Ryanair
