0	7	Ryanair	Ryanair	ORG	ORG-Ryanair
114	127	južni Španiji	južna Španija	LOC	GPE-Southern-Spain
134	146	Portugalskem	Portugalska	LOC	GPE-Portugal
180	192	Portugalskem	Portugalska	LOC	GPE-Portugal
214	220	Malagi	Malaga	LOC	GPE-Malaga
249	261	Ryanairovega	Ryanair	ORG	ORG-Ryanair
404	413	Ryanairov	Ryanair	ORG	ORG-Ryanair
441	453	Peter Bellew	Peter Bellew	PER	PER-Peter-Bellew
515	522	Twitter	Twitter	PRO	PRO-Twitter
567	573	Malagi	Malaga	LOC	GPE-Malaga
623	630	Ryanair	Ryanair	ORG	ORG-Ryanair
672	675	AFP	AFP	ORG	ORG-AFP-Agence-France-Press
1120	1128	Ryanaira	Ryanair	ORG	ORG-Ryanair
1243	1249	SNPVAC	SNPVAC	ORG	ORG-National-Flight-Personnel-Civil-Aviation-Union
1253	1265	Portugalskem	Portugalska	LOC	GPE-Portugal
1266	1279	Luciana Passo	Luciana Passo	PER	PER-Luciana-Passo
1434	1438	Lusa	Lusa	ORG	ORG-Lusa-News-Agency
1641	1648	Ryanair	Ryanair	ORG	ORG-Ryanair
1755	1760	Porto	Porto	LOC	GPE-Porto
1858	1864	Malagi	Malaga	LOC	GPE-Malaga
