10	16	Grčijo	Grčija	LOC	GPE-Greece
24	31	Ryanair	Ryanair	ORG	ORG-Ryanair
41	49	Romunijo	Romunija	LOC	GPE-Romania
135	141	FR8582	FR8582	PRO	PRO-FR8582
145	152	Londona	London	LOC	GPE-London
155	160	Solun	Solun	LOC	GPE-Solun
225	234	Temišvaru	Temišvar	LOC	GPE-Timisoara
245	253	Romunije	Romunija	LOC	GPE-Romania
443	450	Ryanair	Ryanair	ORG	ORG-Ryanair
570	575	Solun	Solun	LOC	GPE-Solun
613	620	Ryanair	Ryanair	ORG	ORG-Ryanair
679	687	Romuniji	Romunija	LOC	GPE-Romania
840	846	Soluna	Solun	LOC	GPE-Solun
1036	1041	Solun	Solun	LOC	GPE-Solun
1124	1133	Temišvaru	Temišvar	LOC	GPE-Timisoara
1195	1209	Aegan Airlines	Aegan Airlines	ORG	ORG-Aegan-Airlines
1239	1245	Skopju	Skopje	LOC	GPE-Skopje
1257	1263	Sofiji	Sofija	LOC	GPE-Sofia
1312	1319	Ryanair	Ryanair	ORG	ORG-Ryanair
1331	1339	Romunijo	Romunija	LOC	GPE-Romania
1505	1521	Veliki Britaniji	Velika Britanija	LOC	GPE-Great-Britain
1522	1529	Ryanair	Ryanair	ORG	ORG-Ryanair
