59	65	Європи	Європа	LOC	LOC-Europe
134	141	Ryanair	Ryanair	ORG	ORG-Ryanair
221	227	Італії	Італія	LOC	GPE-Italy
229	239	Португалії	Португалія	LOC	GPE-Portugal
241	248	Іспанії	Іспанія	LOC	GPE-Spain
250	257	Бельгії	Бельгія	LOC	GPE-Belgium
261	272	Нідерландах	Нідерланди	LOC	GPE-Holland
324	331	Ryanair	Ryanair	ORG	ORG-Ryanair
432	438	Італії	Італія	LOC	GPE-Italy
440	450	Португалії	Португалія	LOC	GPE-Portugal
452	459	Іспанії	Іспанія	LOC	GPE-Spain
461	468	Бельгії	Бельгія	LOC	GPE-Belgium
470	479	Німеччині	Німеччина	LOC	GPE-Germany
481	487	Швеції	Швеція	LOC	GPE-Sweden
490	501	Нідерландах	Нідерланди	LOC	GPE-Holland
539	546	Ryanair	Ryanair	ORG	ORG-Ryanair
598	607	Німеччині	Німеччина	LOC	GPE-Germany
636	643	Ryanair	Ryanair	ORG	ORG-Ryanair
677	684	України	Україна	LOC	GPE-Ukraine
