0	7	Ryanair	Ryanair	ORG	ORG-Ryanair
214	221	Ryanair	Ryanair	ORG	ORG-Ryanair
297	304	Іспанії	Іспанія	LOC	GPE-Spain
306	313	Бельгії	Бельгія	LOC	GPE-Belgium
315	326	Нідерландах	Нідерланди	LOC	GPE-Holland
328	338	Португалії	Португалія	LOC	GPE-Portugal
340	346	Італії	Італія	LOC	GPE-Italy
350	359	Німеччині	Німеччина	LOC	GPE-Germany
654	661	Ryanair	Ryanair	ORG	ORG-Ryanair
662	676	Кенні Джейкобс	Кенні Джейкобс	PER	PER-Kenny-Jacobs
834	841	Ryanair	Ryanair	ORG	ORG-Ryanair
884	893	Німеччини	Німеччина	LOC	GPE-Germany
953	960	Ryanair	Ryanair	ORG	ORG-Ryanair
1009	1018	Німеччині	Німеччина	LOC	GPE-Germany
1109	1116	Ryanair	Ryanair	ORG	ORG-Ryanair
1415	1420	Києва	Київ	LOC	GPE-Kiev
1424	1431	Берліна	Берлін	LOC	GPE-Berlin
