22	27	dnews	dnews	PRO	PRO-dnews-bg
29	36	Америка	Америка	LOC	GPE-USA
70	80	Джо Байдън	Джо Байдън	PER	PER-Joe-Biden
122	127	Дарик	Дарик	PRO	PRO-Darik-radio
149	160	Иво Христов	Иво Христов	PER	PER-Ivo-Hristov
163	173	Джо Байдън	Джо Байдън	PER	PER-Joe-Biden
196	199	САЩ	САЩ	LOC	GPE-USA
283	286	САЩ	САЩ	LOC	GPE-USA
530	540	Джо Байдън	Джо Байдън	PER	PER-Joe-Biden
557	560	САЩ	САЩ	LOC	GPE-USA
616	621	Тръмп	Тръмп	PER	PER-Donald-Trump
679	685	Байдън	Байдън	PER	PER-Joe-Biden
841	844	САЩ	САЩ	LOC	GPE-USA
865	876	Иво Христов	Иво Христов	PER	PER-Ivo-Hristov
928	933	Тръмп	Тръмп	PER	PER-Donald-Trump
936	942	Байдън	Байдън	PER	PER-Joe-Biden
971	976	Тръмп	Тръмп	PER	PER-Donald-Trump
1036	1047	Иво Христов	Иво Христов	PER	PER-Ivo-Hristov
