36	41	Trump	Trump	PER	PER-Donald-Trump
117	129	Donald Trump	Donald Trump	PER	PER-Donald-Trump
493	498	Trump	Trump	PER	PER-Donald-Trump
501	511	Bílém domě	Bílý dům	LOC	LOC-White-House
702	707	Trump	Trump	PER	PER-Donald-Trump
946	951	Trump	Trump	PER	PER-Donald-Trump
989	998	demokraté	demokraté	PER	ORG-Democratic-Party-USA
1006	1017	republikánů	republikáni	PER	ORG-Republican-Party-USA
1023	1034	Bílého domu	Bílý dům	LOC	LOC-White-House
1179	1188	demokratů	demokraté	PER	ORG-Democratic-Party-USA
1201	1212	republikánů	republikáni	PER	ORG-Republican-Party-USA
1322	1327	Trump	Trump	PER	PER-Donald-Trump
1342	1350	Twitteru	Twitter	PRO	PRO-Twitter
1521	1534	Spojené státy	Spojené státy	LOC	GPE-USA
