16	28	Wybory w USA	Wybory w USA	EVT	EVT-2020-United-States-Presidential-Election
49	58	Latynosów	Latynosi	PER	GPE-Latin-America
77	85	Bidenowi	Biden	PER	PER-Joe-Biden
99	108	Despacito	Despacito	PRO	PRO-Despacito
130	140	Joe Bidena	Joe Biden	PER	PER-Joe-Biden
292	300	Latynosi	Latynosi	PER	GPE-Latin-America
338	347	Florydzie	Floryda	LOC	GPE-Florida
496	505	Despacito	Despacito	PRO	PRO-Despacito
508	520	Donald Trump	Donald Trump	PER	PER-Donald-Trump
541	550	Twitterze	Twitter	PRO	PRO-Twitter
568	577	Latynosów	Latynosi	PER	GPE-Latin-America
597	618	Stanach Zjednoczonych	Stany Zjednoczone	LOC	GPE-USA
624	665	Narodowy Miesiąc Dziedzictwa Latynoskiego	Narodowy Miesiąc Dziedzictwa Latynoskiego	EVT	EVT-National-Hispanic-Heritage-Month
754	762	Joe Bien	Joe Biden	PER	PER-Joe-Biden
765	777	Donald Trump	Donald Trump	PER	PER-Donald-Trump
876	884	Latynosi	Latynosi	PER	GPE-Latin-America
960	965	Trump	Trump	PER	PER-Donald-Trump
1063	1076	Mitta Romneya	Mitt Romney	PER	PER-Mitt-Romney
1117	1132	Georga W. Busah	Georga W. Busah	PER	PER-George-Bush-Jr
1222	1234	Donald Trump	Donald Trump	PER	PER-Donald-Trump
1311	1320	Joe Biden	Joe Biden	PER	PER-Joe-Biden
1448	1458	Demokratów	Demokraci	ORG	ORG-Democratic-Party-USA
1497	1504	Florydę	Floryda	LOC	GPE-Florida
1512	1520	Latynosi	Latynosi	PER	GPE-Latin-America
1620	1629	Latynosów	Latynosi	PER	GPE-Latin-America
1683	1690	Florydę	Floryda	LOC	GPE-Florida
1691	1696	Biden	Biden	PER	PER-Joe-Biden
1809	1814	Biden	Biden	PER	PER-Joe-Biden
1838	1847	Kissimmee	Kissimmee	LOC	GPE-Kissimmee
1875	1887	Eva Longoria	Eva Longoria	PER	PER-Eva-Longoria
1889	1901	Ricky Martin	Ricky Martin	PER	PER-Ricky-Martin
1904	1914	Luis Fonsi	Luis Fonsi	PER	PER-Luis-Fonsi
1975	1984	Latynosów	Latynosi	PER	GPE-Latin-America
2048	2054	Bidena	Biden	PER	PER-Joe-Biden
2118	2123	Biden	Biden	PER	PER-Joe-Biden
2149	2157	iPhone'a	iPhone	PRO	PRO-iPhone
2270	2284	Luisa Fonsiego	Luis Fonsi	PER	PER-Luis-Fonsi
2298	2307	Despacito	Despacito	PRO	PRO-Despacito
2311	2316	Biden	Biden	PER	PER-Joe-Biden
2755	2767	Donald Trump	Donald Trump	PER	PER-Donald-Trump
2795	2804	Twitterze	Twitter	PRO	PRO-Twitter
2827	2838	Joe Bidenem	Joe Biden	PER	PER-Joe-Biden
2921	2926	N.W.O	N.W.O	ORG	ORG-NWO
2940	2956	F***k the police	F***k the police	PRO	PRO-Fk-the-police
3042	3050	Trumpowi	Trump	PER	PER-Donald-Trump
3175	3180	Biden	Biden	PER	PER-Joe-Biden
3214	3235	Partii Demokratycznej	Partia Demokratyczna	ORG	ORG-Democratic-Party-USA
3337	3352	George'a Floyda	George Floyd	PER	PER-George-Floyd
3423	3428	Trump	Trump	PER	PER-Donald-Trump
