110	117	Кирилла	Кирилл	PER	PER-Kirill-The-Patriarch-of-Moscow-and-all-Ru
141	151	«Колумбия»	«Колумбия»	PRO	PRO-Columbia
191	197	Байден	Байден	PER	PER-Joe-Biden
205	211	Трампа	Трамп	PER	PER-Donald-Trump
242	251	ВАШИНГТОН	ВАШИНГТОН	LOC	GPE-WashingtonDC
266	270	ТАСС	ТАСС	ORG	ORG-TASS-Agency
273	281	Демократ	Демократ	ORG	ORG-Democratic-Party-USA
282	295	Джозеф Байден	Джозеф Байден	PER	PER-Joe-Biden
327	330	США	США	LOC	GPE-USA
331	346	Дональда Трампа	Дональд Трамп	PER	PER-Donald-Trump
456	475	The Washington Post	The Washington Post	PRO	PRO-Washington-Post
479	512	Коллегия выборщиков штата Вермонт	оллегия выборщиков штата Вермонт	ORG	ORG-The-electoral-College-of-Vermont
522	525	США	США	LOC	GPE-USA
613	628	Джозефа Байдена	Джозеф Байден	PER	PER-Joe-Biden
672	688	Associated Press	Associated Press	ORG	ORG-AP-The-Associated-Press
708	717	демократа	демократ	ORG	ORG-Democratic-Party-USA
718	725	Байдена	Байден	PER	PER-Joe-Biden
764	772	Вермонта	Вермонт	LOC	GPE-Vermont
837	849	270towin.com	270towin.com	PRO	PRO-270towin.com
882	893	Нью-Гэмпшир	Нью-Гэмпшир	LOC	GPE-New-Hampshire
899	906	Индиана	Индиана	LOC	GPE-Indiana
914	922	Теннесси	Теннесси	LOC	GPE-Tennessee
947	954	Байдена	Байден	PER	PER-Joe-Biden
1000	1003	США	США	LOC	GPE-USA
1004	1017	республиканца	республиканец	ORG	ORG-Republican-Party-USA
1018	1033	Дональда Трампа	Дональд Трамп	PER	PER-Donald-Trump
1037	1056	The Washington Post	The Washington Post	ORG	ORG-The-Washington-Post
1081	1087	Невады	Невада	LOC	GPE-Nevada
1093	1106	республиканцы	республиканцы	ORG	ORG-Republican-Party-USA
1157	1164	Байдена	Байден	PER	PER-Joe-Biden
1175	1181	Неваде	Невада	LOC	GPE-Nevada
1191	1200	демократу	демократ	ORG	ORG-Democratic-Party-USA
1233	1246	республиканцы	республиканцы	ORG	ORG-Republican-Party-USA
1345	1351	Трампа	Трамп	PER	PER-Donald-Trump
1363	1382	окружной суд Невады	окружной суд Невады	ORG	ORG-District-court-of-Nevada
1508	1515	Байдена	Байден	PER	PER-Joe-Biden
1517	1530	Республиканцы	республиканцы	ORG	ORG-Republican-Party-USA
1539	1548	демократу	демократ	ORG	ORG-Democratic-Party-USA
1626	1634	Джорджии	Джорджия	LOC	GPE-Georgia-US-state
1707	1714	Байдена	Байден	PER	PER-Joe-Biden
1728	1741	Камалу Харрис	Камала Харрис	PER	PER-Kamala-Harris
1780	1783	США	США	LOC	GPE-USA
1811	1817	Fox 10	Fox 10	ORG	ORG-FOX
1827	1835	Джорджии	Джорджия	LOC	GPE-Georgia-US-state
1906	1909	США	США	LOC	GPE-USA
1954	1960	Байден	Байден	PER	PER-Joe-Biden
1971	1979	Джорджии	Джорджия 	LOC	GPE-Georgia-US-state
2043	2056	республиканца	республиканец	ORG	ORG-Republican-Party-USA
2057	2072	Дональда Трампа	Дональд Трамп	PER	PER-Donald-Trump
2102	2108	Трампа	Трамп	PER	PER-Donald-Trump
2236	2249	Республиканец	Республиканец	ORG	ORG-Republican-Party-USA
2465	2473	Джорджии	Джорджия	LOC	GPE-Georgia-US-state
2501	2508	Аризоне	Аризона	LOC	GPE-Arizona
2510	2522	Пенсильвании	Пенсильвания	LOC	GPE-Pennsylvania
2526	2535	Нью-Йорке	Нью-Йорк	LOC	GPE-New-York
2540	2550	Висконсине	Висконсин	LOC	GPE-Wisconsin
