0	5	Janšo	Janša	PER	PER-Janez-Janša
61	72	Janez Janša	Janez Janša	PER	PER-Janez-Janša
280	295	državnega zbora	državni zbor	ORG	ORG-National-Assembly-of-the-Republic-of-Slovenia
328	341	Janezom Janšo	Janez Janša	PER	PER-Janez-Janša
399	423	Koaliciji ustavnega loka	Koalicija ustavnega loka	ORG	ORG-Constitutional-Arch-Coalition
425	428	KUL	KUL	ORG	ORG-Constitutional-Arch-Coalition
539	551	Marjan Šarec	Marjan Šarec	PER	PER-Marjan-Šarec
553	556	LMŠ	LMŠ	ORG	ORG-List-of-Marjan-Šarec
602	609	Janševo	Janša	PER	PER-Janez-Janša
655	669	Donaldu Trumpu	Donald Trump	PER	PER-Donald-Trump
736	741	Šarca	Šarec	PER	PER-Marjan-Šarec
777	783	Trumpa	Trump	PER	PER-Donald-Trump
802	814	koronavirusa	koronavirus	EVT	EVT-Covid-19
860	864	Jaša	Janša	PER	PER-Janez-Janša
960	967	Poljčah	Poljče	LOC	GPE-Poljče
977	992	koalicija Demos	koalicija Demos	ORG	ORG-DEMOS-Democratic-Opposition-of-Slovenia
997	1004	Poljčah	Poljče	LOC	GPE-Poljče
1093	1098	Janša	Janša	PER	PER-Janez-Janša
1227	1232	Janša	Janša	PER	PER-Janez-Janša
1284	1297	Josephu Bidnu	Joseph Biden	PER	PER-Joe-Biden
1355	1367	Donald Trump	Donald Trump	PER	PER-Donald-Trump
1629	1634	Janša	Janša	PER	PER-Janez-Janša
1635	1640	Šarcu	Šarec	PER	PER-Marjan-Šarec
1795	1801	Trumpa	Trump	PER	PER-Donald-Trump
1809	1816	Šarčevo	Šarec	PER	PER-Marjan-Šarec
1839	1844	Janša	Janša	PER	PER-Janez-Janša
1966	1971	Šarcu	Šarec	PER	PER-Marjan-Šarec
1978	1983	Janša	Janša	PER	PER-Janez-Janša
2055	2060	kovid	kovid	EVT	EVT-Covid-19
2103	2105	SD	SD	ORG	ORG-Social-Democrats-Slovenia
2106	2117	Franc Trček	Franc Trček	PER	PER-Franc-Trček
2121	2126	Janšo	Janša	PER	PER-Janez-Janša
2356	2361	Janša	Janša	PER	PER-Janez-Janša
2689	2694	Janša	Janša	PER	PER-Janez-Janša
3129	3135	Levice	Levica	ORG	ORG-The-Left-Slovenia
3136	3146	Luka Mesec	Luka Mesec	PER	PER-Luka-Mesec
3321	3330	Ljubljane	Ljubljana	LOC	GPE-Ljubljana
3346	3351	Mesec	Mesec	PER	PER-Luka-Mesec
3355	3360	Janšo	Janša	PER	PER-Janez-Janša
3547	3562	Jože P. Damijan	Jože P. Damijan	PER	PER-Jože-P.-Damijan
3626	3631	Janša	Janša	PER	PER-Janez-Janša
