0	10	Espreso.tv	Espreso.tv	PRO	PRO-Espreso.tv
21	42	Вибори президента США	Вибори президента США	EVT	EVT-2020-United-States-Presidential-Election
46	54	Джорджії	Джорджія	LOC	GPE-Georgia-US-state
84	87	NYT	NYT	PRO	PRO-The-New-York-Times
90	111	Вибори президента США	Вибори президента США	EVT	EVT-2020-United-States-Presidential-Election
115	123	Джорджії	Джорджія	LOC	GPE-Georgia-US-state
153	156	NYT	NYT	PRO	PRO-The-New-York-Times
236	244	Джорджія	Джорджія	LOC	GPE-Georgia-US-state
249	259	Джо Байден	Джо Байден	PER	PER-Joe-Biden
270	285	Дональда Трампа	Дональд Трамп	PER	PER-Donald-Trump
383	391	Джорджія	Джорджія	LOC	GPE-Georgia-US-state
392	410	Бред Раффенспергер	Бред Раффенспергер	PER	PER-Brad-Raffensperger
490	495	Трамп	Трамп	PER	PER-Donald-Trump
550	556	Байден	Байден	PER	PER-Joe-Biden
567	573	Трампа	Трамп	PER	PER-Donald-Trump
576	584	Джорджії	Джорджія	LOC	GPE-Georgia-US-state
659	672	Раффенспергер	Раффенспергер	PER	PER-Brad-Raffensperger
940	953	Раффенспергер	Раффенспергер	PER	PER-Brad-Raffensperger
1046	1053	Байдена	Байден	PER	PER-Joe-Biden
1056	1062	Трампа	Трамп	PER	PER-Donald-Trump
1110	1118	Джорджії	Джорджія	LOC	GPE-Georgia-US-state
1119	1124	Трамп	Трамп	PER	PER-Donald-Trump
1138	1148	Джо Байден	Джо Байден	PER	PER-Joe-Biden
1220	1227	виборах	вибори	EVT	EVT-2020-United-States-Presidential-Election
1242	1253	Даг Коллінз	Даг Коллінз	PER	PER-Doug-Collins
1296	1302	Трампа	Трамп	PER	PER-Donald-Trump
1305	1313	Джорджії	Джорджія	LOC	GPE-Georgia-US-state
1335	1348	Раффенспергер	Раффенспергер	PER	PER-Brad-Raffensperger
1504	1517	Раффенспергер	Раффенспергер	PER	PER-Brad-Raffensperger
